date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:03	455618/455618	---MCZ	200	added ('OK')	text/html	etag:%220bb007a0fabe612d5b9c1d14c0c418d4-ssl-df%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html	(from )
13:48:03	1340/1340	---MCZ	404	error ('Not%20Found')	text/html	etag:1739628298-ssl-df	https://teal-stroopwafel-329b3f.netlify.app/robots.txt		(from )
13:48:05	273816/273816	---MCZ	200	added ('OK')	text/html	etag:%22cfbd2a314e2caeb1f2d8e68d4d46e6f5-ssl-df%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/integrating-seo-sem-and-social-media-a-holistic-approach-to-digital-marketing/index.html	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/integrating-seo-sem-and-social-media-a-holistic-approach-to-digital-marketing/index.html	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:07	162885/162885	---MCZ	200	added ('OK')	text/html	etag:%22b9e0c585de30db02750787a6ec125ede-ssl-df%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/firefox/index.html	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/firefox/index.html	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:09	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:%220bf80cddc9cc37c1c42142aa9fd42022-ssl-df%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:09	1356/1356	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22bcc59ff7b05ab8ff58f54d18a21d2e94-ssl-df%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2023/12/New-Header-Option.html	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2023/12/New-Header-Option.4.delayed	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:11	3449/3449	---MCZ	200	added ('OK')	text/html	etag:%22bcc59ff7b05ab8ff58f54d18a21d2e94-ssl-df%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2023/12/new-header-option	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2023/12/new-header-option.html	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:13	1448888/1448888	---M--	200	added ('OK')	image/png	etag:%22ec6e8de4092996d5113e7a30ad479681-ssl%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2023/12/New-Header-Option_3.png	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2023/12/New-Header-Option_3.png	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:13	302643/302643	---M--	200	added ('OK')	image/png	etag:%224ff27845b3b7be9b50b4525d5be7bd2a-ssl%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-3-3.png	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-3-3.png	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:14	54520/54520	---M--	200	added ('OK')	image/png	etag:%229bb5045bb6a98a9e0fa9ea702bfea5de-ssl%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-1-2.png	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-1-2.png	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:16	342215/342215	---M--	200	added ('OK')	image/png	etag:%22cbca06d8814b3d0cb46fac7cf91ecaf1-ssl%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-Section-1.png	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-Section-1.png	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:17	66344/66344	---M--	200	added ('OK')	image/png	etag:%22183026b0fbcaed904aa914f2e9dc6d0f-ssl%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-Section-2-1.png	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-Section-2-1.png	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:19	517345/517345	---M--	200	added ('OK')	image/png	etag:%227fa9c3e7fd61e9af2dc95f43f4829a38-ssl%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-Section-1-1.png	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-Section-1-1.png	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:20	116421/116421	---M--	200	added ('OK')	image/png	etag:%22bf9ce67426ec1b0acbcc4152dc0adc35-ssl%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-1-1.png	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-1-1.png	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:21	234758/234758	---M--	200	added ('OK')	image/png	etag:%2233d5f49e39ef98e4e64220cd7f10a12d-ssl%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-Section-20.png	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-Section-20.png	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
13:48:22	47717/47717	---M--	200	added ('OK')	image/png	etag:%220eaf4062d08a984e385a2e9b9c5a5dae-ssl%22	https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-Section-21.png	C:/My%20Web%20Sites/Cr8tive%20Squad/teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/wp-content/uploads/2024/07/Play-Video-Section-21.png	(from https://teal-stroopwafel-329b3f.netlify.app/celebrated-faloodeh-edab9f.netlify.app/index.html)
